NAME,STATE,2000 POP.,1990 POP.
GULF COUNTY,FL,13332,11504
HAMILTON COUNTY,FL,13327,10930
HARDEE COUNTY,FL,26938,19499
HENDRY COUNTY,FL,36210,25773
HERNANDO COUNTY,FL,130802,101115
HIGHLANDS COUNTY,FL,87366,68432
HILLSBOROUGH COUNTY,FL,998948,834054
HOLMES COUNTY,FL,18564,15778
INDIAN RIVER COUNTY,FL,112947,90208
JACKSON COUNTY,FL,46755,41375
JEFFERSON COUNTY,FL,12902,11296
LAFAYETTE COUNTY,FL,7022,5578
LAKE COUNTY,FL,210528,152104
LEE COUNTY,FL,440888,335113
LEON COUNTY,FL,239452,192493
LEVY COUNTY,FL,34450,25923
LIBERTY COUNTY,FL,7021,5569
MADISON COUNTY,FL,18733,16569
MANATEE COUNTY,FL,264002,211707
MARION COUNTY,FL,258916,194833
MARTIN COUNTY,FL,126731,100900
MIAMI-DADE COUNTY,FL,2253362,1937094
MONROE COUNTY,FL,79589,78024
NASSAU COUNTY,FL,57663,43941
OKALOOSA COUNTY,FL,170498,143776
OKEECHOBEE COUNTY,FL,35910,29627
ORANGE COUNTY,FL,896344,677491
OSCEOLA COUNTY,FL,172493,107728
PALM BEACH COUNTY,FL,1131184,863518
PASCO COUNTY,FL,344765,281131
PINELLAS COUNTY,FL,921482,851659
POLK COUNTY,FL,483924,405382
PUTNAM COUNTY,FL,70423,65070
ST. JOHNS COUNTY,FL,123135,83829
ST. LUCIE COUNTY,FL,192695,150171
SANTA ROSA COUNTY,FL,117743,81608
SARASOTA COUNTY,FL,325957,277776
SEMINOLE COUNTY,FL,365196,287529
SUMTER COUNTY,FL,53345,31577
SUWANNEE COUNTY,FL,34844,26780
TAYLOR COUNTY,FL,19256,17111
UNION COUNTY,FL,13442,10252
VOLUSIA COUNTY,FL,443343,370712
WAKULLA COUNTY,FL,22863,14202
WALTON COUNTY,FL,40601,27760
WASHINGTON COUNTY,FL,20973,16919
APPLING COUNTY,GA,17419,15744
ATKINSON COUNTY,GA,7609,6213
BACON COUNTY,GA,10103,9566
BAKER COUNTY,GA,4074,3615
BALDWIN COUNTY,GA,44700,39530
BANKS COUNTY,GA,14422,10308
BARROW COUNTY,GA,46144,29721
BARTOW COUNTY,GA,76019,55911
BEN HILL COUNTY,GA,17484,16245
BERRIEN COUNTY,GA,16235,14153
BIBB COUNTY,GA,153887,149967
BLECKLEY COUNTY,GA,11666,10430
BRANTLEY COUNTY,GA,14629,11077
BROOKS COUNTY,GA,16450,15398
BRYAN COUNTY,GA,23417,15438
BULLOCH COUNTY,GA,55983,43125
BURKE COUNTY,GA,22243,20579
BUTTS COUNTY,GA,19522,15326
CALHOUN COUNTY,GA,6320,5013
CAMDEN COUNTY,GA,43664,30167
CANDLER COUNTY,GA,9577,7744
CARROLL COUNTY,GA,87268,71422
CATOOSA COUNTY,GA,53282,42464
CHARLTON COUNTY,GA,10282,8496
CHATHAM COUNTY,GA,232048,216935
CHATTAHOOCHEE COUNTY,GA,14882,16934
CHATTOOGA COUNTY,GA,25470,22242
CHEROKEE COUNTY,GA,141903,90204
CLARKE COUNTY,GA,101489,87594
CLAY COUNTY,GA,3357,3364
CLAYTON COUNTY,GA,236517,182052
CLINCH COUNTY,GA,6878,6160
COBB COUNTY,GA,607751,447745
COFFEE COUNTY,GA,37413,29592
COLQUITT COUNTY,GA,42053,36645
COLUMBIA COUNTY,GA,89288,66031
